V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
417278883.543486,481042424.962705,537861896.648632,619863648.261037,695355477.669212,781399437.6076,868840939.239462,952306222.202502,1044690227.34519,1134483367.32199,1240825209.41901,1329284378.76408,1440339976.9444,1544123989.43281,1662812532.72447,1766527885.42006,1876338021.04405,1992221450.69777,2124820318.55814,2246582985.79874
406699241.518754,472258398.244576,531531712.189576,616689596.833411,693690732.345399,779015214.935478,867352443.3811,955765879.6186,1049997321.45908,1143509576.69822,1260357509.77508,1359370127.08066,1480019578.47278,1591300077.88575,1698482583.45415,1805044974.2844,1921420106.2972,2040344274.67511,2175133268.97473,2288610358.91656
408343193.024318,472143191.479856,528821786.594663,612726176.383297,686438907.999818,767275771.877886,853880896.627772,938646760.410812,1033282459.81757,1123738514.09996,1221695158.86423,1301913253.56014,1415055010.18589,1530850402.22438,1641263275.84075,1733388162.50721,1841131807.92535,1952488681.42047,2076485917.41772,2169980498.42637
379191010.006884,446326956.992101,497675516.280933,580481076.294839,654721252.445282,733311200.379263,821000058.653281,908176396.503527,997287222.29698,1085265204.12092,1198467270.12262,1288609068.14555,1391892054.51725,1501440700.51712,1600474360.53658,1694443360.31426,1817625224.76794,1936869365.99842,2058507561.55613,2180826193.5025
392216952.548401,456001004.950832,513259294.761097,594230462.967024,665246173.437984,748199274.785061,838286047.312823,920611226.792367,1012236241.33826,1102559477.47148,1208406423.49296,1299713423.9753,1413363996.77046,1529244579.25718,1634119364.29545,1737882987.45578,1852551674.58806,1979583141.31471,2103535120.80274,2210126843.81279
381740425.034025,445422448.737736,504191326.270325,587693974.315555,661964848.127158,742641169.477977,831294748.313481,913936251.014758,1005517754.5351,1101004045.05761,1214959450.26191,1310832274.28377,1432369957.99333,1544741033.37284,1663613427.34266,1769185177.22915,1893070211.65815,2022245581.57848,2157500094.66603,2277350012.4071
480062987.732907,552958923.810674,619390654.996833,705048877.416017,790279912.376465,875057137.617915,971205539.632068,1054343375.08595,1163020587.15271,1256133081.13176,1384775174.51537,1484358962.93083,1621810098.36875,1736890470.50104,1841051030.62254,1953213678.25674,2091304490.41555,2233510035.46757,2378878439.19488,2503327351.30206
421031275.401458,485717060.245388,545562265.37554,629162231.076154,706331132.849397,789570400.719323,880662327.413723,967356020.560767,1066967367.80821,1158297235.31295,1265974017.29904,1366981360.59171,1476783363.36154,1593317094.80012,1693831143.04487,1806681532.21411,1919758483.18658,2035582706.26389,2178255802.92118,2296350484.45696
341680732.358995,402638112.537063,456790760.380955,535289776.909753,604548299.228829,682882864.716561,764811788.338076,845448339.225482,931972830.414263,1018449282.9467,1121768673.96424,1208276084.10292,1318552976.77692,1422407416.93965,1527496007.18633,1627897929.99718,1736804059.18628,1857617997.92429,1977985634.78741,2088919114.25541
492926795.923866,561862299.616465,624733899.808073,704411658.413907,789193093.284674,872748992.176895,964540104.128653,1054220565.2708,1141717673.73293,1249391288.96397,1368778024.64581,1462893151.58527,1578981869.13187,1711426625.98674,1846984887.31264,1962946815.75466,2079357871.74623,2223208115.29778,2360341951.43044,2474351527.45956
374035811.120996,434148573.705335,492762224.550103,575245554.15612,648745505.810468,728369940.822828,814450728.159106,894302532.051262,982626854.47274,1069571429.29885,1174551370.64685,1261919525.33177,1365410823.10193,1463516335.21682,1567771588.43568,1663096287.60051,1766735983.29951,1882650340.18699,2003824280.85613,2101566795.86093
342086178.646236,401465224.608769,458487601.911896,538040559.55737,609729440.219041,688946084.698627,773893945.773592,856274340.233418,944765443.773131,1029763580.37838,1137853758.55821,1227466110.07106,1341676812.35262,1450851530.85796,1558500437.92963,1663284473.26994,1775470019.64627,1893059691.65479,2021768719.96832,2132298953.18315
362166743.480997,426434307.92536,482317255.010873,561783078.728731,636055888.038334,715858673.904448,802039900.381066,881687722.8927,972388738.223093,1064695982.79625,1172126427.15939,1260559680.17019,1370582829.25999,1477731753.05115,1585825108.06633,1681775034.02215,1794651012.42808,1916900434.21387,2046402030.16838,2153124467.15424
416810276.800879,484082830.179322,540795693.199707,621942423.34703,695788682.045021,780350578.446126,866512442.208542,946048571.392921,1039878058.43751,1136414589.8095,1249562750.94417,1349694032.14093,1469894196.07059,1572335782.76626,1685021183.76764,1792872611.72137,1909586450.11855,2025375377.39975,2160584457.35528,2268260729.78885
407421609.498481,472318797.425456,534695478.850546,609751836.690713,682141424.615563,766482955.51118,855894709.72705,940440301.373327,1038942473.1761,1127638242.14112,1241725552.79025,1338279050.36407,1454825156.88089,1567940632.7309,1682180083.52162,1794491999.87651,1920551982.9191,2051182649.017,2188251335.95109,2298650443.00826
392485438.810915,459750983.319157,517696477.709555,601670482.164183,674243413.372181,753113502.611709,836897224.388161,919972346.925455,1007257078.96956,1101530240.72048,1215670583.5981,1298787494.44859,1410761197.79376,1524249256.95279,1642097053.87243,1739220439.02049,1859103058.31781,1987993446.25056,2120660936.94208,2233345368.98559
396246593.961101,459757300.111079,518074731.457636,600106378.712211,673572024.866239,752483011.058331,836328045.158277,916728093.76753,1010727128.26239,1098592040.13944,1209481501.19907,1304342167.80016,1419160617.05344,1522142360.62699,1628155427.28292,1734466650.75367,1852931551.2986,1981732302.33804,2115700998.43049,2227791756.92342
363799827.508663,427401895.841861,481341029.637579,560629562.28955,633144527.263886,710352000.242933,796965242.868635,879893352.891486,964907258.013687,1053208022.64372,1153550624.6862,1246152765.19051,1353068332.52178,1455178850.41285,1569085739.50492,1661056006.56165,1779262460.83723,1894266122.33031,2018332798.76311,2137480957.76631
344561596.125059,404548363.807347,461850983.030386,541827622.437188,612492323.552603,690930370.16547,774939445.227101,856733876.868886,946544392.790272,1036150823.0895,1143461901.68559,1231215160.88957,1341322152.21782,1444614532.03735,1551329211.62199,1652169705.47113,1766357038.33241,1888957492.36621,2008300594.89749,2120502407.56639
532145294.630761,605917988.80165,668271881.973175,758245935.828838,842977910.299935,920170915.08765,1014937562.56709,1105291413.57507,1198393237.73214,1300115557.3205,1413150085.51147,1509495990.75211,1638692848.36418,1777824321.92069,1910734211.83175,2041724948.03482,2171488357.40682,2309324205.51608,2437353171.25889,2575150983.09886
411918719.325923,480721527.020608,535671559.660498,617710788.040055,696548109.011744,771948167.114805,863437041.534864,945255497.224018,1035096656.38132,1127725977.48023,1226456760.28298,1325797511.08959,1431734324.98243,1535899033.68485,1638138037.0896,1732998825.89636,1839962328.97767,1971486872.87645,2084973042.87394,2173609921.32462
434326435.787521,500176405.554227,561379219.144632,643126247.427774,714622606.801983,791158570.303583,884510215.234956,956535300.595597,1051290545.78402,1145673326.54165,1258696913.47085,1348116875.35038,1467282732.77185,1578440745.88164,1667510693.0894,1758397361.99512,1878559689.81025,2018265220.88947,2147662049.39722,2249140283.81009
393835711.715024,457481662.035673,512964352.280577,591909176.435144,668007801.436451,747696897.392582,834396682.800182,918425318.720707,1006275712.32368,1095915497.48504,1203337688.43978,1299672218.42817,1415764514.40846,1527654856.49514,1639714066.30257,1738020195.13796,1859329165.91374,1987473170.0258,2110243717.31185,2224721939.34067
403802483.937967,463476955.082299,522020442.85279,601112085.913315,669634098.744057,751611790.011584,843650609.34054,931412288.042285,1020002992.41159,1106717451.37916,1215306351.05894,1305865026.71591,1413060368.43116,1523058560.488,1628142494.13374,1730975477.21739,1842327603.47366,1948590878.16413,2075474992.25084,2192642228.37174
416923521.152694,482219782.456963,543475164.255392,624857585.094532,697240758.453839,775942283.536745,866566411.404462,948892962.340181,1035043242.04135,1127337585.81293,1237267319.07318,1333964117.91107,1450467348.36495,1557292011.14757,1671343290.36569,1780150029.37788,1901590178.91854,2021563686.53566,2144246566.93722,2244408959.24127
429752854.303588,500052103.135448,559703861.754048,638148634.697912,708777266.613558,793063366.034685,887944982.679102,970524495.17522,1054451124.48891,1149383423.1901,1254830193.49761,1344273094.45804,1455270087.37458,1571051774.75247,1669227188.78685,1778968686.18069,1895230682.04909,2024867778.5997,2136115188.41275,2265564808.66301
353375637.326747,414181886.136512,472328391.461693,553271111.945866,624577325.010048,701711881.91401,787570238.971548,871046194.83072,962199349.707572,1051487115.30508,1159282192.18167,1245095795.09017,1354801847.297,1458626504.96447,1567989626.03846,1668189503.71028,1774417016.16455,1887148669.01517,2008110298.66302,2114364967.32021
406454504.571704,469561206.978047,526786527.285804,605773634.271858,679731293.353135,757908420.346389,849674062.108005,928925114.532344,1014839622.54994,1095845868.43164,1209196072.27114,1294008538.63805,1400899030.8767,1499698843.29451,1617266762.23458,1708069613.32168,1818885627.94372,1940224836.66589,2068064170.93443,2166671266.16433
343598478.985638,404056612.864776,461751194.698207,538632454.474786,610928322.545993,688000182.917516,772688699.91937,855710680.427778,942913215.932252,1033544546.69073,1136711198.17003,1226249703.58853,1340329977.39421,1443039043.67278,1552937988.176,1650112032.07913,1761083163.98095,1883989494.53753,2011443861.60405,2121230501.89227
424819365.562024,487378471.563264,542539273.086222,620264577.819108,693945002.523242,777237812.529409,864071934.619978,953643940.808892,1045130153.56946,1147500578.81804,1254618916.18982,1334426545.85144,1456153242.87561,1575606582.19188,1681626425.96353,1786862563.3246,1912194361.84903,2038464373.58457,2175190933.29297,2305035786.47655
353228647.207575,413800626.599905,469890913.043713,552427829.234939,624562370.275512,704283036.82246,790151120.133657,869533317.041872,962725279.787696,1050996122.67649,1155217122.79475,1240787064.43718,1349522093.83581,1461211828.53011,1572608522.3484,1668472038.5701,1780945689.19306,1897294229.53781,2012887716.63589,2115706303.1893
386450059.302446,452813236.90989,509947066.923849,586794084.510607,660922466.952432,735689414.882187,817489601.628785,900726781.837185,987252406.442296,1080750330.648,1183384998.30498,1271019551.97999,1377371050.33369,1476920364.73031,1595549178.2693,1700672817.18672,1812956641.80233,1933592663.85034,2058795723.53634,2153233088.93925
407890108.119111,472469340.422938,536641660.566841,621137469.112717,698622314.984558,782874818.768016,872043087.233273,951685343.424669,1042870629.6706,1133574704.19386,1244889193.25722,1328146943.10526,1446200495.80406,1555754913.48617,1675817986.25404,1783871843.96964,1902218207.4919,2026268401.58486,2167008712.19945,2272234383.50814
432885592.486683,501224151.98037,560903711.488094,645611774.639773,722054674.925072,810945035.183271,894691800.422346,975240631.864776,1067030876.16451,1154116114.04349,1264158630.9481,1366825616.18667,1478000629.66688,1589092670.01459,1688681423.64344,1789963803.2377,1906716985.97293,2017142736.72457,2138942975.65499,2266909596.42405
362523486.533874,423533497.44902,478748675.912504,554731488.745139,624641644.486592,707671175.79664,796792606.77541,878358579.423489,966040026.079501,1060101330.83969,1168293431.02045,1257026676.10085,1368835916.42703,1470795080.25152,1580483146.70511,1683845022.58622,1793701841.27972,1915481300.91109,2042378104.71256,2153914934.66064
470043404.490653,538833517.876456,594042633.026482,676677581.681816,751733576.986022,841551138.946521,935185159.920042,1030830176.22253,1116907150.73971,1210932205.05898,1325425295.12721,1410005930.02945,1538029255.11793,1643070103.47167,1762997962.44423,1879920795.90012,1997360692.70839,2131302655.10826,2278806307.40486,2391692569.83866
412635005.763398,479817666.558201,540175737.00293,621553390.602859,691938847.686399,775204513.97866,858303072.617451,946091747.294092,1038615171.92212,1135521171.45175,1247332555.96926,1331177986.94731,1443294732.68038,1551893336.20287,1669087529.80526,1772360680.91641,1889333737.82398,2020211831.98673,2139543982.74715,2250393972.72009
366606678.734412,427597419.859007,485401773.183402,563644940.516653,637020703.182455,718728458.459572,808216531.393171,893442929.78033,984622017.886824,1068953368.83444,1176811393.28664,1262045763.80328,1377080691.22731,1489370191.5308,1598131791.38509,1702929046.50096,1810964739.73283,1936462926.35972,2052657202.62406,2168169788.83397
352119677.627197,415470367.447836,471406007.525316,550662368.362702,624717549.801311,704427311.714334,785177511.489897,869421652.939164,957489777.615614,1051603364.25832,1159712592.62623,1241675697.6187,1356095105.67883,1463420036.33044,1564519664.81871,1660157690.43525,1776457028.37853,1896643981.87214,2023953206.9001,2125743364.94833
403543673.345308,470573850.774327,526664814.087804,606953666.10996,681418160.624051,759939836.997628,847100421.35361,936242969.630698,1026110636.36882,1121422241.89747,1233505300.165,1324061350.73747,1443051835.57314,1559494449.34726,1672264519.78797,1783290227.67524,1908572487.87578,2040483580.01735,2170793759.70411,2291940406.09763
341339938.341223,403016467.45579,461225967.142816,540580860.496391,611165036.823787,689472359.689207,773896653.379561,855183751.812716,943026556.154176,1031715991.54854,1135708796.58595,1223176627.4924,1333056280.33349,1439686868.65344,1549210762.91562,1646932199.31252,1760243933.20284,1877681231.26054,2006132271.49593,2121499132.77488
339845390.422416,401349788.095431,457659428.49049,537240197.466776,609945938.30838,688814880.262052,773174289.926316,854903239.427299,942148620.004518,1031172564.29641,1138403090.11136,1223290516.44218,1330347736.60923,1433886636.7889,1540949919.09828,1640305936.53346,1753527593.6861,1875121287.38984,1999920451.12542,2105186651.56624
396204417.935032,454775634.275777,512082642.614597,592835836.243623,661629701.507713,746952208.19046,826080419.293586,901896412.27605,983556774.12372,1079910264.79869,1177417385.04104,1252632975.11978,1361815148.54739,1463484238.98394,1578719232.26471,1671443980.51403,1771614019.59063,1871968654.20577,1964992300.40259,2069151952.82451
486134545.923675,557650524.135219,621190484.439928,697941873.902156,776586614.420353,864044156.250145,955098463.836555,1042332595.59832,1138667387.36826,1228177403.68581,1338359259.46632,1433512394.29176,1542405824.30746,1666977081.5614,1772132482.80977,1882260333.01133,1992115277.85419,2112596384.19028,2235246792.26449,2351993180.88848
460521095.258317,527951529.682503,579476288.363145,666923297.883817,746841458.067711,826556063.941849,905185552.155794,977706313.704427,1055761086.87881,1134878160.9178,1251292167.16301,1336162177.65958,1463498114.37882,1574137565.25555,1702391166.30741,1793402819.7366,1918038510.72688,2035449868.37895,2186437500.79238,2294409821.34423
395035725.040329,452388234.443502,507448983.62705,592498610.10543,660252400.108811,743191814.859248,831522506.01404,915369340.858261,1006475803.13942,1091972635.88764,1195885322.48092,1288159563.16166,1397595360.59551,1500329860.75759,1611526695.7654,1712874376.88496,1830470656.55663,1959489469.47867,2093934760.7279,2212085982.68869
392480332.446437,457123448.205952,514822564.571128,590807402.213835,662448998.391287,736666762.358708,822826421.262039,905064025.92338,986655941.11684,1082313467.47224,1177636575.12449,1256190580.37379,1358387989.2938,1463363135.56115,1569326739.21315,1671943319.94948,1776778419.53448,1890243970.71092,2015233741.33243,2123322260.34115
405059099.475034,471860312.605595,534236857.998934,617076249.404403,691566123.757113,776269028.65213,868426832.162742,951064445.313423,1045665352.9941,1143806812.27579,1252514977.53583,1341974953.2192,1453238883.67086,1565373667.36104,1675756598.8432,1778063180.77747,1891628463.10041,2014457559.16617,2145266336.11727,2271436953.51171
